,Pclass,Sex,Age,SibSp,Fare,Embarked
352,3,1,15.0,1,7.2292,1
353,3,1,25.0,1,17.8,0
355,3,1,28.0,0,9.5,0
356,1,0,22.0,0,55.0,0
357,2,0,38.0,0,13.0,0
360,3,1,40.0,1,27.9,0
361,2,1,29.0,1,27.7208,1
362,3,0,45.0,0,14.4542,1
363,3,1,35.0,0,7.05,0
365,3,1,30.0,0,7.25,0
366,1,0,60.0,1,75.25,1
369,1,0,24.0,0,69.3,1
370,1,1,25.0,1,55.4417,1
371,3,1,18.0,1,6.4958,0
372,3,1,19.0,0,8.05,0
373,1,1,22.0,0,135.6333,1
374,3,0,3.0,3,21.075,0
376,3,0,22.0,0,7.25,0
377,1,1,27.0,0,211.5,1
378,3,1,20.0,0,4.0125,1
379,3,1,19.0,0,7.775,0
380,1,0,42.0,0,227.525,1
381,3,0,1.0,0,15.7417,1
382,3,1,32.0,0,7.925,0
383,1,0,35.0,1,52.0,0
385,2,1,18.0,0,73.5,0
386,3,1,1.0,5,46.9,0
387,2,0,36.0,0,13.0,0
389,2,0,17.0,0,12.0,1
390,1,1,36.0,1,120.0,0
391,3,1,21.0,0,7.7958,0
392,3,1,28.0,2,7.925,0
393,1,0,23.0,1,113.275,1
394,3,0,24.0,0,16.7,0
395,3,1,22.0,0,7.7958,0
396,3,0,31.0,0,7.8542,0
397,2,1,46.0,0,26.0,0
398,2,1,23.0,0,10.5,0
399,2,0,28.0,0,12.65,0
400,3,1,39.0,0,7.925,0
401,3,1,26.0,0,8.05,0
402,3,0,21.0,1,9.825,0
403,3,1,28.0,1,15.85,0
404,3,0,20.0,0,8.6625,0
405,2,1,34.0,1,21.0,0
406,3,1,51.0,0,7.75,0
407,2,1,3.0,1,18.75,0
408,3,1,21.0,0,7.775,0
412,1,0,33.0,1,90.0,2
414,3,1,44.0,0,7.925,0
416,2,0,34.0,1,32.5,0
417,2,0,18.0,0,13.0,0
418,2,1,30.0,0,13.0,0
419,3,0,10.0,0,24.15,0
421,3,1,21.0,0,7.7333,2
422,3,1,29.0,0,7.875,0
423,3,0,28.0,1,14.4,0
424,3,1,18.0,1,20.2125,0
426,2,0,28.0,1,26.0,0
427,2,0,19.0,0,26.0,0
429,3,1,32.0,0,8.05,0
430,1,1,28.0,0,26.55,0
432,2,0,42.0,1,26.0,0
433,3,1,17.0,0,7.125,0
434,1,1,50.0,1,55.9,0
435,1,0,14.0,1,120.0,0
436,3,0,21.0,2,34.375,0
437,2,0,24.0,2,18.75,0
438,1,1,64.0,1,263.0,0
439,2,1,31.0,0,10.5,0
440,2,0,45.0,1,26.25,0
441,3,1,20.0,0,9.5,0
442,3,1,25.0,1,7.775,0
443,2,0,28.0,0,13.0,0
445,1,1,4.0,0,81.8583,0
446,2,0,13.0,0,19.5,0
447,1,1,34.0,0,26.55,0
448,3,0,5.0,2,19.2583,1
449,1,1,52.0,0,30.5,0
450,2,1,36.0,1,27.75,0
452,1,1,30.0,0,27.75,1
453,1,1,49.0,1,89.1042,1
455,3,1,29.0,0,7.8958,1
456,1,1,65.0,0,26.55,0
458,2,0,50.0,0,10.5,0
460,1,1,48.0,0,26.55,0
461,3,1,34.0,0,8.05,0
462,1,1,47.0,0,38.5,0
463,2,1,48.0,0,13.0,0
465,3,1,38.0,0,7.05,0
467,1,1,56.0,0,26.55,0
469,3,0,0.75,2,19.2583,1
471,3,1,38.0,0,8.6625,0
472,2,0,33.0,1,27.75,0
473,2,0,23.0,0,13.7917,1
474,3,0,22.0,0,9.8375,0
476,2,1,34.0,1,21.0,0
477,3,1,29.0,1,7.0458,0
478,3,1,22.0,0,7.5208,0
479,3,0,2.0,0,12.2875,0
480,3,1,9.0,5,46.9,0
482,3,1,50.0,0,8.05,0
483,3,0,63.0,0,9.5875,0
484,1,1,25.0,1,91.0792,1
486,1,0,35.0,1,90.0,0
487,1,1,58.0,0,29.7,1
488,3,1,30.0,0,8.05,0
489,3,1,9.0,1,15.9,0
491,3,1,21.0,0,7.25,0
492,1,1,55.0,0,30.5,0
493,1,1,71.0,0,49.5042,1
494,3,1,21.0,0,8.05,0
496,1,0,54.0,1,78.2667,1
498,1,0,25.0,1,151.55,0
499,3,1,24.0,0,7.7958,0
500,3,1,17.0,0,8.6625,0
501,3,0,21.0,0,7.75,2
503,3,0,37.0,0,9.5875,0
504,1,0,16.0,0,86.5,0
505,1,1,18.0,1,108.9,1
506,2,0,33.0,0,26.0,0
508,3,1,28.0,0,22.525,0
509,3,1,26.0,0,56.4958,0
510,3,1,29.0,0,7.75,2
512,1,1,36.0,0,26.2875,0
513,1,0,54.0,1,59.4,1
514,3,1,24.0,0,7.4958,0
515,1,1,47.0,0,34.0208,0
516,2,0,34.0,0,10.5,0
518,2,0,36.0,1,26.0,0
519,3,1,32.0,0,7.8958,0
520,1,0,30.0,0,93.5,0
521,3,1,22.0,0,7.8958,0
523,1,0,44.0,0,57.9792,1
525,3,1,40.5,0,7.75,2
526,2,0,50.0,0,10.5,0
528,3,1,39.0,0,7.925,0
529,2,1,23.0,2,11.5,0
530,2,0,2.0,1,26.0,0
532,3,1,17.0,1,7.2292,1
534,3,0,30.0,0,8.6625,0
535,2,0,7.0,0,26.25,0
536,1,1,45.0,0,26.55,0
537,1,0,30.0,0,106.425,1
539,1,0,22.0,0,49.5,1
540,1,0,36.0,0,71.0,0
541,3,0,9.0,4,31.275,0
542,3,0,11.0,4,31.275,0
543,2,1,32.0,1,26.0,0
544,1,1,50.0,1,106.425,1
545,1,1,64.0,0,26.0,0
546,2,0,19.0,1,26.0,0
548,3,1,33.0,1,20.525,0
549,2,1,8.0,1,36.75,0
550,1,1,17.0,0,110.8833,1
551,2,1,27.0,0,26.0,0
553,3,1,22.0,0,7.225,1
554,3,0,22.0,0,7.775,0
555,1,1,62.0,0,26.55,0
556,1,0,48.0,1,39.6,1
558,1,0,39.0,1,79.65,0
559,3,0,36.0,1,17.4,0
561,3,1,40.0,0,7.8958,0
562,2,1,28.0,0,13.5,0
565,3,1,24.0,2,24.15,0
566,3,1,19.0,0,7.8958,0
567,3,0,29.0,0,21.075,0
569,3,1,32.0,0,7.8542,0
570,2,1,62.0,0,10.5,0
571,1,0,53.0,2,51.4792,0
572,1,1,36.0,0,26.3875,0
574,3,1,16.0,0,8.05,0
575,3,1,19.0,0,14.5,0
576,2,0,34.0,0,13.0,0
577,1,0,39.0,1,55.9,0
579,3,1,32.0,0,7.925,0
580,2,0,25.0,1,30.0,0
581,1,0,39.0,1,110.8833,1
582,2,1,54.0,0,26.0,0
583,1,1,36.0,0,40.125,1
585,1,0,18.0,0,79.65,0
586,2,1,47.0,0,15.0,0
587,1,1,60.0,1,79.2,1
588,3,1,22.0,0,8.05,0
590,3,1,35.0,0,7.125,0
591,1,0,52.0,1,78.2667,1
592,3,1,47.0,0,7.25,0
594,2,1,37.0,1,26.0,0
595,3,1,36.0,1,24.15,0
597,3,1,49.0,0,0.0,0
599,1,1,49.0,1,56.9292,1
600,2,0,24.0,2,27.0,0
603,3,1,44.0,0,8.05,0
604,1,1,35.0,0,26.55,1
605,3,1,36.0,1,15.55,0
606,3,1,30.0,0,7.8958,0
607,1,1,27.0,0,30.5,0
608,2,0,22.0,1,41.5792,1
609,1,0,40.0,0,153.4625,0
610,3,0,39.0,1,31.275,0
614,3,1,35.0,0,8.05,0
615,2,0,24.0,1,65.0,0
616,3,1,34.0,1,14.4,0
617,3,0,26.0,1,16.1,0
618,2,0,4.0,2,39.0,0
619,2,1,26.0,0,10.5,0
620,3,1,27.0,1,14.4542,1
621,1,1,42.0,1,52.5542,0
622,3,1,20.0,1,15.7417,1
623,3,1,21.0,0,7.8542,0
624,3,1,21.0,0,16.1,0
625,1,1,61.0,0,32.3208,0
626,2,1,57.0,0,12.35,2
627,1,0,21.0,0,77.9583,0
628,3,1,26.0,0,7.8958,0
630,1,1,80.0,0,30.0,0
631,3,1,51.0,0,7.0542,0
632,1,1,32.0,0,30.5,1
634,3,0,9.0,3,27.9,0
635,2,0,28.0,0,13.0,0
636,3,1,32.0,0,7.925,0
637,2,1,31.0,1,26.25,0
638,3,0,41.0,0,39.6875,0
640,3,1,20.0,0,7.8542,0
641,1,0,24.0,0,69.3,1
642,3,0,2.0,3,27.9,0
644,3,0,0.75,2,19.2583,1
645,1,1,48.0,1,76.7292,1
646,3,1,19.0,0,7.8958,0
647,1,1,56.0,0,35.5,1
649,3,0,23.0,0,7.55,0
651,2,0,18.0,0,23.0,0
652,3,1,21.0,0,8.4333,0
654,3,0,18.0,0,6.75,2
655,2,1,24.0,2,73.5,0
657,3,0,32.0,1,15.5,2
658,2,1,23.0,0,13.0,0
659,1,1,58.0,0,113.275,1
660,1,1,50.0,2,133.65,0
661,3,1,40.0,0,7.225,1
662,1,1,47.0,0,25.5875,0
663,3,1,36.0,0,7.4958,0
664,3,1,20.0,1,7.925,0
665,2,1,32.0,2,73.5,0
666,2,1,25.0,0,13.0,0
668,3,1,43.0,0,8.05,0
670,2,0,40.0,1,39.0,0
671,1,1,31.0,1,52.0,0
672,2,1,70.0,0,10.5,0
673,2,1,31.0,0,13.0,0
675,3,1,18.0,0,7.775,0
676,3,1,24.5,0,8.05,0
677,3,0,18.0,0,9.8417,0
678,3,0,43.0,1,46.9,0
679,1,1,36.0,0,512.3292,1
681,1,1,27.0,0,76.7292,1
682,3,1,20.0,0,9.225,0
683,3,1,14.0,5,46.9,0
684,2,1,60.0,1,39.0,0
685,2,1,25.0,1,41.5792,1
686,3,1,14.0,4,39.6875,0
687,3,1,19.0,0,10.1708,0
688,3,1,18.0,0,7.7958,0
689,1,0,15.0,0,211.3375,0
690,1,1,31.0,1,57.0,0
691,3,0,4.0,0,13.4167,1
693,3,1,25.0,0,7.225,1
694,1,1,60.0,0,26.55,0
695,2,1,52.0,0,13.5,0
696,3,1,44.0,0,8.05,0
698,1,1,49.0,1,110.8833,1
699,3,1,42.0,0,7.65,0
700,1,0,18.0,1,227.525,1
701,1,1,35.0,0,26.2875,0
702,3,0,18.0,0,14.4542,1
703,3,1,25.0,0,7.7417,2
704,3,1,26.0,1,7.8542,0
705,2,1,39.0,0,26.0,0
706,2,0,45.0,0,13.5,0
707,1,1,42.0,0,26.2875,0
708,1,0,22.0,0,151.55,0
710,1,0,24.0,0,49.5042,1
712,1,1,48.0,1,52.0,0
713,3,1,29.0,0,9.4833,0
714,2,1,52.0,0,13.0,0
715,3,1,19.0,0,7.65,0
716,1,0,38.0,0,227.525,1
717,2,0,27.0,0,10.5,0
719,3,1,33.0,0,7.775,0
720,2,0,6.0,0,33.0,0
721,3,1,17.0,1,7.0542,0
722,2,1,34.0,0,13.0,0
723,2,1,50.0,0,13.0,0
724,1,1,27.0,1,53.1,0
725,3,1,20.0,0,8.6625,0
726,2,0,30.0,3,21.0,0
728,2,1,25.0,1,26.0,0
729,3,0,25.0,1,7.925,0
730,1,0,29.0,0,211.3375,0
731,3,1,11.0,0,18.7875,1
733,2,1,23.0,0,13.0,0
734,2,1,23.0,0,13.0,0
735,3,1,28.5,0,16.1,0
736,3,0,48.0,1,34.375,0
737,1,1,35.0,0,512.3292,1
741,1,1,36.0,1,78.85,0
742,1,0,21.0,2,262.375,1
743,3,1,24.0,1,16.1,0
744,3,1,31.0,0,7.925,0
745,1,1,70.0,1,71.0,0
746,3,1,16.0,1,20.25,0
747,2,0,30.0,0,13.0,0
748,1,1,19.0,1,53.1,0
749,3,1,31.0,0,7.75,2
750,2,0,4.0,1,23.0,0
751,3,1,6.0,0,12.475,0
752,3,1,33.0,0,9.5,0
753,3,1,23.0,0,7.8958,0
754,2,0,48.0,1,65.0,0
755,2,1,0.67,1,14.5,0
756,3,1,28.0,0,7.7958,0
757,2,1,18.0,0,11.5,0
758,3,1,34.0,0,8.05,0
759,1,0,33.0,0,86.5,0
761,3,1,41.0,0,7.125,0
762,3,1,20.0,0,7.2292,1
763,1,0,36.0,1,120.0,0
764,3,1,16.0,0,7.775,0
765,1,0,51.0,1,77.9583,0
767,3,0,30.5,0,7.75,2
769,3,1,32.0,0,8.3625,0
770,3,1,24.0,0,9.5,0
771,3,1,48.0,0,7.8542,0
772,2,0,57.0,0,10.5,0
774,2,0,54.0,1,23.0,0
775,3,1,18.0,0,7.75,0
777,3,0,5.0,0,12.475,0
779,1,0,43.0,0,211.3375,0
780,3,0,13.0,0,7.2292,1
781,1,0,17.0,1,57.0,0
782,1,1,29.0,0,30.0,0
784,3,1,25.0,0,7.05,0
785,3,1,25.0,0,7.25,0
786,3,0,18.0,0,7.4958,0
787,3,1,8.0,4,29.125,2
788,3,1,1.0,1,20.575,0
789,1,1,46.0,0,79.2,1
791,2,1,16.0,0,26.0,0
794,3,1,25.0,0,7.8958,0
795,2,1,39.0,0,13.0,0
796,1,0,49.0,0,25.9292,0
797,3,0,31.0,0,8.6833,0
798,3,1,30.0,0,7.2292,1
799,3,0,30.0,1,24.15,0
800,2,1,34.0,0,13.0,0
801,2,0,31.0,1,26.25,0
802,1,1,11.0,1,120.0,0
803,3,1,0.42,0,8.5167,1
804,3,1,27.0,0,6.975,0
805,3,1,31.0,0,7.775,0
806,1,1,39.0,0,0.0,0
807,3,0,18.0,0,7.775,0
808,2,1,39.0,0,13.0,0
809,1,0,33.0,1,53.1,0
810,3,1,26.0,0,7.8875,0
811,3,1,39.0,0,24.15,0
812,2,1,35.0,0,10.5,0
813,3,0,6.0,4,31.275,0
814,3,1,30.5,0,8.05,0
816,3,0,23.0,0,7.925,0
817,2,1,31.0,1,37.0042,1
818,3,1,43.0,0,6.45,0
819,3,1,10.0,3,27.9,0
820,1,0,52.0,1,93.5,0
821,3,1,27.0,0,8.6625,0
822,1,1,38.0,0,0.0,0
823,3,0,27.0,0,12.475,0
824,3,1,2.0,4,39.6875,0
827,2,1,1.0,0,37.0042,1
829,1,0,62.0,0,80.0,0
830,3,0,15.0,1,14.4542,1
831,2,1,0.83,1,18.75,0
833,3,1,23.0,0,7.8542,0
834,3,1,18.0,0,8.3,0
835,1,0,39.0,1,83.1583,1
836,3,1,21.0,0,8.6625,0
838,3,1,32.0,0,56.4958,0
840,3,1,20.0,0,7.925,0
841,2,1,16.0,0,10.5,0
842,1,0,30.0,0,31.0,1
843,3,1,34.5,0,6.4375,1
844,3,1,17.0,0,8.6625,0
845,3,1,42.0,0,7.55,0
847,3,1,35.0,0,7.8958,1
848,2,1,28.0,0,33.0,0
850,3,1,4.0,4,31.275,0
851,3,1,74.0,0,7.775,0
852,3,0,9.0,1,15.2458,1
853,1,0,16.0,0,39.4,0
854,2,0,44.0,1,26.0,0
855,3,0,18.0,0,9.35,0
856,1,0,45.0,1,164.8667,0
857,1,1,51.0,0,26.55,0
858,3,0,24.0,0,19.2583,1
860,3,1,41.0,2,14.1083,0
861,2,1,21.0,1,11.5,0
862,1,0,48.0,0,25.9292,0
864,2,1,24.0,0,13.0,0
865,2,0,42.0,0,13.0,0
866,2,0,27.0,1,13.8583,1
867,1,1,31.0,0,50.4958,0
869,3,1,4.0,1,11.1333,0
870,3,1,26.0,0,7.8958,0
871,1,0,47.0,1,52.5542,0
872,1,1,33.0,0,5.0,0
873,3,1,47.0,0,9.0,0
874,2,0,28.0,1,24.0,1
875,3,0,15.0,0,7.225,1
876,3,1,20.0,0,9.8458,0
877,3,1,19.0,0,7.8958,0
879,1,0,56.0,0,83.1583,1
880,2,0,25.0,0,26.0,0
881,3,1,33.0,0,7.8958,0
882,3,0,22.0,0,10.5167,0
883,2,1,28.0,0,10.5,0
884,3,1,25.0,0,7.05,0
885,3,0,39.0,0,29.125,2
886,2,1,27.0,0,13.0,0
887,1,0,19.0,0,30.0,0
889,1,1,26.0,0,30.0,1
890,3,1,32.0,0,7.75,2
